,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
1,,3.0,2.0
10,,1.0,1.0
10000,2.0,,
11,,1.0,1.0
12,,1.0,1.0
13,,1.0,1.0
14,,1.0,1.0
15,,2.0,1.0
16,,2.0,1.0
17,,1.0,1.0
1760,,1.0,
1784,,1.0,
1785,,1.0,
1787,,1.0,
1789,,1.0,
1791,,1.0,
18,,1.0,1.0
1800,,1.0,
1803,,1.0,
1806,,1.0,
1810,,1.0,
1811,,,1.0
1814,,1.0,
1816,1.0,,
1818,,1.0,
19,,1.0,1.0
1st,,1.0,
2,,1.0,1.0
20,,2.0,1.0
200,,,1.0
21,,1.0,1.0
22,,1.0,1.0
23,,1.0,1.0
23rd,1.0,,
24,,1.0,1.0
24th,1.0,,
25,,,1.0
26,,,1.0
26th,1.0,,
27,,,1.0
28,,,1.0
28th,1.0,,
28thand,1.0,,
29,,,1.0
29th,,1.0,
3,,1.0,1.0
30,,,1.0
31,,,1.0
32,,,1.0
33,,,1.0
34,,,1.0
35,,,1.0
36,,,1.0
37,,,1.0
38,,,1.0
39,,,1.0
4,,1.0,1.0
40,,,1.0
41,,,1.0
42,,,1.0
43,,,1.0
44,,,1.0
45,,,1.0
46,,,1.0
47,,,1.0
48,,,1.0
49,,,1.0
5,,3.0,1.0
50,,,1.0
6,,1.0,1.0
7,,1.0,1.0
7000l,,,1.0
7th,1.0,,
8,,1.0,1.0
8th,1.0,,
9,,2.0,1.0
a,3073.0,1591.0,2047.0
abandoned,,,1.0
abatement,,,1.0
abbey,23.0,,
abbeyland,,,1.0
abbeymill,7.0,,
abbeyoh,1.0,,
abbots,1.0,,
abbreviation,,1.0,
abdication,,1.0,
abdys,1.0,,
abhor,1.0,,1.0
abhorred,1.0,,2.0
abhorrence,,,4.0
abide,1.0,1.0,
abilities,3.0,3.0,9.0
ability,,,3.0
able,67.0,30.0,46.0
ableand,1.0,,
ablehave,1.0,,
ableshe,1.0,,
ablest,,,1.0
abode,1.0,1.0,5.0
abolition,1.0,,
abominable,6.0,1.0,
abominably,,,1.0
abominate,,1.0,
abominates,,1.0,
abounded,,,1.0
about,246.0,97.0,144.0
above,12.0,6.0,20.0
abridge,,,1.0
abridgement,,,1.0
abroad,6.0,5.0,9.0
abroadhad,1.0,,
abroadof,1.0,,
abrupt,3.0,,
abruptly,5.0,,3.0
abruptness,1.0,,1.0
absence,15.0,9.0,10.0
absenceoh,,,1.0
absences,1.0,,
absent,8.0,4.0,3.0
absentbut,1.0,,
absented,1.0,,
absenting,2.0,1.0,
absentshe,1.0,,
absolute,3.0,3.0,3.0
absolutely,33.0,5.0,10.0
absorbing,1.0,,
abstained,1.0,,
abstracted,,,1.0
abstraction,,1.0,1.0
abstruse,,,1.0
absurd,,6.0,2.0
absurdities,1.0,,
absurdity,1.0,1.0,4.0
absurdityactually,1.0,,
abundance,5.0,1.0,2.0
abundant,1.0,,
abundantly,,,1.0
abundantlybut,1.0,,
abuse,,1.0,3.0
abused,1.0,2.0,1.0
abuses,,,1.0
abusing,2.0,,
abydos,,1.0,
acacia,,,1.0
acceded,1.0,,
accelerate,,,1.0
accent,5.0,1.0,2.0
accents,1.0,,1.0
accept,11.0,6.0,10.0
acceptable,8.0,2.0,3.0
acceptably,,,1.0
acceptance,2.0,1.0,2.0
acceptancebut,,,1.0
accepted,11.0,3.0,7.0
accepting,6.0,3.0,6.0
accepts,1.0,,
accession,1.0,1.0,
accessions,,1.0,
accident,1.0,7.0,5.0
accidental,3.0,1.0,1.0
accidentally,2.0,2.0,5.0
accidently,,,1.0
accommodate,2.0,2.0,3.0
accommodating,,1.0,2.0
accommodation,6.0,3.0,7.0
accommodations,2.0,6.0,1.0
accompanied,4.0,1.0,2.0
accompaniment,1.0,,
accompany,3.0,1.0,4.0
accompanying,2.0,1.0,
accomplish,2.0,2.0,
accomplished,11.0,2.0,2.0
accomplishment,2.0,1.0,2.0
accomplishments,1.0,4.0,
accord,1.0,1.0,
accordant,1.0,,1.0
according,5.0,1.0,2.0
accordingly,4.0,6.0,3.0
accosted,1.0,1.0,1.0
account,55.0,37.0,44.0
accountable,1.0,,
accounted,1.0,,1.0
accounti,1.0,,
accounting,1.0,,
accounts,4.0,5.0,5.0
accountshe,1.0,,
accountsuch,1.0,,
accountwe,1.0,,
accrue,1.0,,1.0
accumulation,1.0,,
accumulations,1.0,,
accurately,,1.0,1.0
accusation,1.0,,1.0
accuse,1.0,1.0,1.0
accused,1.0,1.0,
accustom,,,1.0
accustomary,,1.0,3.0
accustomed,2.0,,
aches,,,1.0
achieved,2.0,,
achievement,1.0,,
aching,,,2.0
acknowledge,14.0,8.0,12.0
acknowledged,11.0,8.0,12.0
acknowledgedwhat,1.0,,
acknowledgement,,2.0,
acknowledgements,,1.0,
acknowledging,5.0,,5.0
acknowledgment,5.0,,4.0
acknowledgments,1.0,,3.0
acquaintance,63.0,61.0,62.0
acquaintanceoh,,,1.0
acquaintancepoor,,,1.0
acquaintances,,,1.0
acquainted,32.0,27.0,26.0
acquaintedthey,1.0,,
acquiesced,1.0,,1.0
acquiescence,5.0,2.0,2.0
acquire,1.0,,
acquired,3.0,4.0,1.0
acquirements,2.0,,
acquisition,,1.0,3.0
acquit,6.0,,4.0
acquittal,2.0,1.0,
acquitted,1.0,1.0,2.0
acquitting,,,1.0
acre,1.0,1.0,
acres,,1.0,
across,7.0,3.0,7.0
acrostic,1.0,,
act,14.0,8.0,10.0
acted,4.0,2.0,4.0
acting,8.0,5.0,7.0
action,6.0,2.0,6.0
actions,1.0,2.0,9.0
actit,1.0,,
active,7.0,5.0,9.0
activity,4.0,2.0,
acts,,,2.0
actual,3.0,4.0,1.0
actually,27.0,9.0,6.0
actuated,,1.0,
acute,2.0,1.0,1.0
acutely,,,1.0
acuteness,1.0,,2.0
adair,1.0,,
adapt,2.0,,
adapted,,1.0,1.0
aday,,,1.0
add,11.0,6.0,7.0
added,37.0,24.0,41.0
adding,1.0,4.0,1.0
addition,11.0,5.0,7.0
additional,4.0,3.0,4.0
additions,,,2.0
address,9.0,2.0,21.0
addressed,4.0,3.0,3.0
addresses,2.0,3.0,1.0
addressesand,1.0,,
addressing,9.0,3.0,4.0
adelaide,2.0,,
adequate,1.0,,1.0
adherence,1.0,,
adhering,,,1.0
adieu,,1.0,2.0
adieus,1.0,1.0,2.0
adjoining,6.0,3.0,2.0
adjusting,,,1.0
administer,1.0,,1.0
administered,1.0,,
administering,,,1.0
admirable,2.0,,1.0
admirableexcellently,1.0,,
admirably,1.0,1.0,
admiral,,61.0,
admirals,,8.0,
admiralty,,1.0,
admiration,24.0,10.0,20.0
admirationa,,,1.0
admirationshe,,,1.0
admire,9.0,7.0,10.0
admired,15.0,5.0,5.0
admirer,5.0,1.0,
admirers,,,1.0
admires,1.0,1.0,3.0
admiring,3.0,3.0,3.0
admissible,2.0,,
admission,1.0,,1.0
admit,10.0,9.0,6.0
admits,1.0,,
admittance,,,2.0
admitted,12.0,12.0,5.0
admittedshe,1.0,,
admitting,,,3.0
adopt,4.0,1.0,6.0
adopted,,3.0,1.0
adoption,1.0,,
adoration,2.0,,
adored,1.0,,
